SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_BATCH_SELECTED_ADDR_MIN	primary nonempty value over the Metal alias; strtol accepts a numeric prefix; <= 0 returns 0, > UINT32_MAX clamps, invalid uses ROCm default 2 for Pro/Flash/GLM52 and 0 otherwise	Sets the inclusive lower token-count bound for automatically using selected-expert address-table kernels during eligible non-quality SSD batch prefill (the path independently requires more than one token).	ds4.c:18494
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_CACHE_SEED_K	primary nonempty value over the Metal alias; strict full-string strtoul; unset/empty/invalid: 1; 0 disables; positive values clamp to 64; ignored unless SSD streaming and DS4_ROCM_ENABLE_STREAMING_PREFILL_CACHE_SEED (or Metal alias) is present	Chooses how many trailing token router selections per layer are captured from prefill and used to seed the streaming expert cache afterward.	ds4.c:21267
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_CACHE_SEED_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill cache seed profile.	ds4.c:32153
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_MADVISE_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill layer madvise profile.	ds4.c:19609
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_PAGEIN_NO_OVERLAP	Pure presence flag: any defined value, including empty or "0", disables overlap. Default overlap is enabled only if this, PREPARE_NO_OVERLAP, DISABLE_*_PREPARE_OVERLAP, and DISABLE_*_PAGEIN_OVERLAP are all absent. The corresponding DS4_METAL name is an accepted fallback alias. In current code PAGEIN_NO_OVERLAP and PREPARE_NO_OVERLAP are exact synonyms.	Serialize SSD-streaming prefill layer page-in/preparation instead of overlapping preparation of upcoming layers.	ds4.c:19316
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_PAGEIN_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill layer pagein profile.	ds4.c:19605
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_PAGEIN_THREADS	legacy fallback read only when DS4_ROCM_STREAMING_PREFILL_LAYER_PREPARE_THREADS and its Metal alias are absent/empty; strict full-string strtoul; unset/empty across both names: 8; invalid or 0: 1; values > 16 clamp to 16	Sets worker count for full-layer SSD-prefill preparation (page touch, pread, readahead, or madvise) when the canonical PREPARE_THREADS control is not set.	ds4.c:19274
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_PREAD_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill layer pread profile.	ds4.c:19607
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_PREPARE_AHEAD	primary nonempty value over the Metal alias; strict full-string strtoul; unset/empty: 1; invalid or 0: 1; values > 4 clamp to 4	Sets how many future layer-preparation jobs may be queued concurrently while SSD-prefill preparation overlap is enabled.	ds4.c:19328
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_PREPARE_NO_OVERLAP	Pure presence flag: any defined value, including empty or "0", disables overlap. Default overlap is enabled only if this, PAGEIN_NO_OVERLAP, DISABLE_*_PREPARE_OVERLAP, and DISABLE_*_PAGEIN_OVERLAP are all absent. The corresponding DS4_METAL name is an accepted fallback alias. In current code PREPARE_NO_OVERLAP and PAGEIN_NO_OVERLAP are exact synonyms.	Serialize SSD-streaming prefill layer preparation/page-in instead of overlapping preparation of upcoming layers.	ds4.c:19314
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_PREPARE_THREADS	primary nonempty value over the Metal alias; strict full-string strtoul; unset/empty falls back to LAYER_PAGEIN_THREADS, then default 8; invalid or 0: 1; values > 16 clamp to 16	Sets worker count used to split full-layer SSD-prefill page-touch, pread, readahead, or madvise preparation ranges.	ds4.c:19270
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_READAHEAD_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill layer readahead profile.	ds4.c:19611
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_MADVISE_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill selected madvise profile.	ds4.c:19355
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_MADVISE_THREADS	legacy fallback read only for selected-expert madvise preparation when DS4_ROCM_STREAMING_PREFILL_SELECTED_PREPARE_THREADS and its Metal alias are absent/empty; strict full-string strtoul; if all selected controls are unset it inherits layer preparation threads (default 8); invalid or 0: 1; values > 16 clamp to 16	Sets worker count for selected-expert madvise preparation under its legacy name; non-madvise selected page-in always uses one worker.	ds4.c:19292
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_PAGEIN_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill selected pagein profile.	ds4.c:19353
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_PREPARE_GAP	primary nonempty value over the Metal alias; strict full-string strtoul; unset/empty/invalid: 0; values > 8 clamp to 8	For selected-expert madvise preparation, merges selected expert runs separated by at most this many unselected expert IDs, trading broader hints for fewer ranges.	ds4.c:19304
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_PREPARE_THREADS	primary nonempty value over the Metal alias; strict full-string strtoul; for selected-expert madvise, unset/empty falls back to SELECTED_MADVISE_THREADS then layer preparation threads (default 8); invalid or 0: 1; values > 16 clamp to 16; non-madvise selected page-in ignores it and uses 1	Sets worker count for selected-expert madvise preparation using the canonical control name.	ds4.c:19288
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill selected profile.	ds4.c:18905
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_READAHEAD_GAP	primary nonempty value over the Metal alias; strict full-string strtoul; unset/empty/invalid: 0; values > 8 clamp to 8	For selected-expert file readahead, merges selected expert runs separated by at most this many unselected expert IDs, reducing readahead calls at the cost of hinting extra weights.	ds4.c:19977
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_READAHEAD_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill selected readahead profile.	ds4.c:20062
runtime/rocm	DS4_ROCM_STREAM_CACHE_LAYER_STATS	presence flag; unset=off	Collect per-layer ROCm streaming cache statistics; also enables aggregate stats.	rocm/ds4_rocm_runtime.cuh:390
runtime/rocm	DS4_ROCM_STREAM_CACHE_STATS	presence flag; unset=off unless layer stats are enabled	Collect aggregate ROCm streaming cache statistics.	rocm/ds4_rocm_runtime.cuh:398
runtime/rocm	DS4_ROCM_STREAM_EVICT_PAST_LAYERS_FIRST	nonempty and not 0 enables; unset/empty/0=off	Prefer evicting cached experts from already-processed layers.	rocm/ds4_rocm_runtime.cuh:406
runtime/rocm	DS4_ROCM_STREAM_FREE_RESERVE_GB	integer 2..64 GiB; default 16	Reserve unified-memory headroom while growing the ROCm expert cache.	rocm/ds4_rocm_runtime.cuh:1526
runtime/rocm	DS4_ROCM_STREAM_MODEL_CACHE_GB	positive GiB integer; unset/invalid uses automatic streaming model cache limit	Cap cached streaming model spans.	rocm/ds4_rocm_runtime.cuh:5464
runtime/rocm	DS4_ROCM_STREAM_NO_DIRECT	nonempty and not 0 disables direct reads; unset/empty/0 keeps direct I/O eligible	Force the buffered ROCm SSD-streaming read path.	rocm/ds4_rocm_runtime.cuh:1932
runtime/rocm	DS4_ROCM_STREAM_Q8_F16_CACHE_GB	non-negative GiB integer; unset/invalid uses automatic Q8-F16 cache limit	Cap converted Q8-to-F16 weights in SSD mode.	rocm/ds4_rocm_runtime.cuh:4859
runtime/rocm	DS4_ROCM_STREAM_READ_PROFILE	nonempty and not 0 enables; unset/empty/0=off	Print ROCm SSD-streaming read/locality statistics at exit.	rocm/ds4_rocm_runtime.cuh:1918
runtime/rocm	DS4_ROCM_STREAM_READ_WORKERS	integer; default DS4_ROCM_STREAM_READ_DEFAULT_WORKERS; 0 coerces to 1; capped at compile-time max	Set parallel ROCm SSD read/upload workers.	rocm/ds4_rocm_runtime.cuh:2077
runtime/server	DS4_SERVER_BATCH_LOG	Pure presence flag read once when the decode worker starts; default off. Any defined value, including empty or "0", logs one record per coalesced decode batch with count, elapsed milliseconds and ok/error status.	Observe server-side decode coalescing size, latency and result without changing batching behavior.	ds4_server.c:11090
runtime/server	DS4_SERVER_DECODE_COALESCE_US	integer 0..100000 microseconds; default 2000; 0 disables wait	Control server micro-batch coalescing delay.	ds4_server.c:11069
runtime/ssd	DS4_SSD_AUTO_CACHE_PCT	integer 50..95; default 80	Choose the RAM percentage used by automatic SSD expert-cache planning.	ds4_ssd.c:81
runtime/test-hook	DS4_TEST_METAL_EXACTN_ORACLE	presence flag compiled only with DS4_TEST_HOOKS; unset is off; any defined value enables	Force allocation of the Metal exact-N verifier/oracle workspace in test builds.	ds4.c:61991
runtime/tp	DS4_TP_ABLATE	comma/list string matched for hcpre,router,kv,compidx; unset=no ablation; must match on both ranks	Skip named TP encode chains for timing; output is semantically wrong.	ds4.c:22520
runtime/tp	DS4_TP_EVENT_GATES	presence flag; unset uses lower-latency slab flag gates when available	Fall back to Metal shared-event arrival gates.	ds4_metal.m:10768
runtime/tp	DS4_TP_GATE_PROFILE	presence diagnostic flag; unset=off	Collect timing/profile diagnostics for tp gate profile.	ds4_metal.m:10662
runtime/tp	DS4_TP_GATE_TRACE	presence diagnostic flag; unset=off	Emit trace diagnostics for tp gate trace.	ds4_tp.c:911
runtime/tp	DS4_TP_KEEPALIVE_ITERS	atoi unsigned iteration count; default 1200000	Tune work per Metal TP keep-alive dispatch.	ds4_metal.m:10626
runtime/tp	DS4_TP_KEEPALIVE_TGS	integer 1..2048; invalid/out of range uses 1	Tune threadgroups per Metal TP keep-alive dispatch.	ds4_metal.m:10612
runtime/tp	DS4_TP_NO_KEEPALIVE	presence flag; unset starts Metal TP keep-alive	Disable the Metal TP GPU keep-alive worker.	ds4_metal.m:10798
runtime/tp	DS4_TP_PREFILL_SPLIT_MIN	atoi token threshold; default 32; values below 2 clamp to 2	Set when TP prefill row-splits the replicated shared expert.	ds4.c:29192
runtime/tp	DS4_TP_SUBGATE_PIPELINE	nonempty integer; nonzero enables; default off; must match on both ranks	Enable TP prefill sub-chunk gate pipelining.	ds4.c:29206
runtime/tp	DS4_TP_TIMEOUT_SEC	atoi seconds stored unsigned; default DS4_TP_DEFAULT_TIMEOUT_SEC	Override TP control/data socket operation timeout.	ds4_tp.c:1329
runtime/web	DS4_CHROME	executable path; unset auto-detects Chrome/Chromium via standard paths and PATH	Select the browser executable used by web tooling.	ds4_web.c:1014
script/downloader	DS4_GGUF_DIR	path; default repository gguf/ directory	Choose the model download directory.	download_model.sh:23
script/downloader	FLATTEN_DOWNLOADS	exact integer 1 enables; unset or 0 preserves normal shard paths	Move downloaded Hugging Face files from nested cache paths into the requested output directory.	download_model.sh:244
script/downloader	FORCE_HF_DOWNLOAD	exact integer 1 enables; unset or 0 uses the available downloader automatically	Force download_model.sh to use hf download instead of curl when available.	download_model.sh:216
script/downloader	HF_TOKEN	secret string; unset tries cached Hugging Face token or unauthenticated download	Authenticate Hugging Face downloads.	download_model.sh:28
script/downloader	HOME	Filesystem directory string. In ds4-agent, unset or empty falls back to "." for the default cache and history roots; the web helper applies the same fallback for its browser profile. A nonempty value roots .ds4/kvcache, .ds4_agent_history and .ds4/browser.	Choose the user's persistent ds4-agent cache, line-history and Chrome-profile base directory.	ds4_agent.c:4023
script/quality-collector	<NAME_FROM_--api-key-env>	dynamic environment-variable name; no fixed identifier; overrides endpoint-derived key name	Allow a caller-selected credential environment variable.	gguf-tools/quality-testing/collect_official.py:243
script/quality-collector	DEEPSEEK_API_KEY	secret string; default credential for non-OpenRouter endpoint; required unless --api-key-env selects another name	Authenticate official DeepSeek continuation collection.	gguf-tools/quality-testing/collect_official.py:242
script/quality-collector	OPENROUTER_API_KEY	secret string; default credential when endpoint contains openrouter.ai; required unless --api-key-env selects another name	Authenticate OpenRouter continuation collection.	gguf-tools/quality-testing/collect_official.py:242
script/server-wrapper	DS4_BATCHED_SESSIONS	unset/empty defaults to 16; otherwise passed verbatim to --batched-session; the wrapper does not validate it	Sets the maximum batched-session count for the managed CUDA tensor-parallel server.	run-nvidia-tp-server.sh:14
script/server-wrapper	DS4_CTX	unset/empty defaults to 100000; otherwise passed verbatim to --ctx; the wrapper does not validate it	Sets the managed server context size.	run-nvidia-tp-server.sh:9
script/server-wrapper	DS4_KV_DIR	directory path; unset/empty defaults to /data/ds4-kv	Sets --kv-disk-dir for the managed server disk-backed KV cache.	run-nvidia-tp-server.sh:12
script/server-wrapper	DS4_KV_SPACE_MB	unset/empty defaults to 8192; otherwise passed verbatim to --kv-disk-space-mb; the wrapper does not validate it	Sets the managed server disk-KV capacity in MiB.	run-nvidia-tp-server.sh:13
script/server-wrapper	DS4_LOCK_FILE	lock-file path; unset/empty defaults to /tmp/ds4.lock	Selects the PID/instance lock inspected by start, stop, restart, and status; an explicit environment value is inherited by ds4-server.	run-nvidia-tp-server.sh:15
script/server-wrapper	DS4_MODEL	model path; unset/empty defaults to /home/antirez/models/deepseek-v4-gguf/DeepSeek-V4-Flash-MXFP4Experts-F16HC-F16Compressor-F16Indexer-Q8Attn-Q8Shared-Q8Out-chat-v2-mxfp4-0731.gguf; unreadable paths fail	Sets the target GGUF passed to the managed CUDA tensor-parallel server.	run-nvidia-tp-server.sh:8
script/server-wrapper	DS4_SERVER_HOST	host string; unset/empty defaults to 0.0.0.0	Sets the HTTP listen address passed to the managed server.	run-nvidia-tp-server.sh:10
script/server-wrapper	DS4_SERVER_LOG	log-file path; unset/empty defaults to /tmp/ds4-server.log	Receives detached-server stdout/stderr and supplies the readiness probe and failure tail.	run-nvidia-tp-server.sh:16
script/server-wrapper	DS4_SERVER_PORT	unset/empty defaults to 8000; otherwise passed verbatim to --port; the wrapper does not validate it	Sets the HTTP listen port passed to the managed server.	run-nvidia-tp-server.sh:11
script/server-wrapper	DS4_START_TIMEOUT	positive decimal integer with no leading zero; unset/empty defaults to 180; invalid values fail when starting	Sets how many seconds detached startup waits for the lock owner and listening log marker.	run-nvidia-tp-server.sh:17
